config: 43 | lr: 0.001 | num_layers: 3 | nbs_units: 32 | batch_size: 128 | rsmse: 0.12198255956172943
config: 30 | lr: 0.001 | num_layers: 4 | nbs_units: 128 | batch_size: 32 | rsmse: 0.12203187495470047
config: 42 | lr: 0.001 | num_layers: 3 | nbs_units: 64 | batch_size: 32 | rsmse: 0.13153217732906342
config: 58 | lr: 0.0001 | num_layers: 4 | nbs_units: 64 | batch_size: 128 | rsmse: 0.13353750109672546
config: 48 | lr: 0.001 | num_layers: 2 | nbs_units: 128 | batch_size: 32 | rsmse: 0.13747937977313995
config: 71 | lr: 0.0001 | num_layers: 3 | nbs_units: 32 | batch_size: 64 | rsmse: 0.137987419962883
config: 69 | lr: 0.0001 | num_layers: 3 | nbs_units: 64 | batch_size: 32 | rsmse: 0.13985860347747803
config: 51 | lr: 0.001 | num_layers: 2 | nbs_units: 64 | batch_size: 32 | rsmse: 0.14017203450202942
config: 47 | lr: 0.001 | num_layers: 2 | nbs_units: 128 | batch_size: 64 | rsmse: 0.14314283430576324
config: 73 | lr: 0.0001 | num_layers: 2 | nbs_units: 128 | batch_size: 128 | rsmse: 0.14359328150749207
config: 57 | lr: 0.0001 | num_layers: 4 | nbs_units: 128 | batch_size: 32 | rsmse: 0.14468638598918915
config: 45 | lr: 0.001 | num_layers: 3 | nbs_units: 32 | batch_size: 32 | rsmse: 0.1456061750650406
config: 29 | lr: 0.001 | num_layers: 4 | nbs_units: 128 | batch_size: 64 | rsmse: 0.14767169952392578
config: 60 | lr: 0.0001 | num_layers: 4 | nbs_units: 64 | batch_size: 32 | rsmse: 0.15024635195732117
config: 65 | lr: 0.0001 | num_layers: 3 | nbs_units: 128 | batch_size: 64 | rsmse: 0.1550750434398651
config: 53 | lr: 0.001 | num_layers: 2 | nbs_units: 32 | batch_size: 64 | rsmse: 0.15877094864845276
config: 50 | lr: 0.001 | num_layers: 2 | nbs_units: 64 | batch_size: 64 | rsmse: 0.15969274938106537
config: 59 | lr: 0.0001 | num_layers: 4 | nbs_units: 64 | batch_size: 64 | rsmse: 0.160371333360672
config: 67 | lr: 0.0001 | num_layers: 3 | nbs_units: 64 | batch_size: 128 | rsmse: 0.16220320761203766
config: 40 | lr: 0.001 | num_layers: 3 | nbs_units: 64 | batch_size: 128 | rsmse: 0.16470685601234436
config: 63 | lr: 0.0001 | num_layers: 4 | nbs_units: 32 | batch_size: 32 | rsmse: 0.1647735983133316
config: 72 | lr: 0.0001 | num_layers: 3 | nbs_units: 32 | batch_size: 32 | rsmse: 0.16592401266098022
